user_id,username,skills,location,interests,skillLevel,contentType,timeCommitment
10018,testuser_18,"Marketing,Photography,Advertising,Graphic Designing,Music Production",City_17,"Content Creation,Videography,Animation,Marketing",Intermediate,Video tutorials,3–5 hours
10019,testuser_19,"Marketing,Music Production,Animation,Photography,Content Creation",City_12,"Videography,Advertising,Marketing",Advanced,Video tutorials,< 1 hour
10020,testuser_20,"Videography,Advertising",City_22,Animation,Beginner,Interactive activities,< 1 hour
10021,testuser_21,"Content Creation,Graphic Designing,UI/UX",City_45,"Photography,Content Creation,Animation,Videography,Advertising",Intermediate,Interactive activities,3–5 hours
10022,testuser_22,"Videography,Content Creation,Animation",City_25,"Marketing,Photography,Advertising,Graphic Designing",Intermediate,Interactive activities,< 1 hour
10023,testuser_23,"Animation,Videography,Content Creation,Marketing,Advertising",City_25,Marketing,Intermediate,Video tutorials,3–5 hours
10024,testuser_24,Photography,City_18,"Marketing,Advertising,Videography,Music Production",Beginner,Video tutorials,< 1 hour
10025,testuser_25,"Music Production,Graphic Designing,UI/UX,Animation,Advertising",City_1,"Graphic Designing,UI/UX,Content Creation",Advanced,Interactive activities,1–3 hours
10026,testuser_26,"Graphic Designing,Marketing,UI/UX,Content Creation",City_29,"Marketing,Photography",Intermediate,Video tutorials,< 1 hour
10027,testuser_27,Animation,City_44,"Content Creation,Marketing",Advanced,Video tutorials,3–5 hours
10028,testuser_28,Marketing,City_48,"Music Production,Advertising,Content Creation,Graphic Designing,Photography",Beginner,Written guides,1–3 hours
10029,testuser_29,"UI/UX,Videography,Graphic Designing",City_30,Videography,Beginner,Video tutorials,5+ hours
10030,testuser_30,"Animation,Advertising,Content Creation,Graphic Designing,Marketing",City_10,"Videography,Graphic Designing,Animation",Beginner,Written guides,< 1 hour
10031,testuser_31,"UI/UX,Photography,Graphic Designing",City_46,"Content Creation,Animation,UI/UX,Photography",Intermediate,Video tutorials,5+ hours
10032,testuser_32,"Advertising,Content Creation,Marketing",City_43,"Music Production,Graphic Designing,Photography",Beginner,Written guides,1–3 hours
10033,testuser_33,UI/UX,City_48,"Marketing,Content Creation,UI/UX,Advertising",Advanced,Video tutorials,3–5 hours
10034,testuser_34,Photography,City_44,"Content Creation,Photography,Animation,Marketing",Advanced,Video tutorials,3–5 hours
10035,testuser_35,"Graphic Designing,Photography,UI/UX,Videography",City_23,"Marketing,Photography,Advertising,UI/UX,Content Creation",Beginner,Written guides,< 1 hour
10036,testuser_36,"UI/UX,Graphic Designing",City_19,"Videography,Animation",Intermediate,Written guides,5+ hours
10037,testuser_37,"Videography,UI/UX,Photography",City_34,Advertising,Intermediate,Interactive activities,< 1 hour
10038,testuser_38,"Content Creation,Animation,Graphic Designing,Advertising,Photography",City_19,"Videography,Graphic Designing,Music Production,Content Creation",Advanced,Written guides,5+ hours
10039,testuser_39,"Advertising,Marketing,Videography,UI/UX",City_26,"Photography,Animation",Intermediate,Interactive activities,1–3 hours
10040,testuser_40,"Advertising,Marketing,Animation,Music Production",City_16,"Marketing,UI/UX,Animation,Content Creation",Beginner,Written guides,3–5 hours
10041,testuser_41,Photography,City_25,UI/UX,Intermediate,Video tutorials,< 1 hour
10042,testuser_42,UI/UX,City_4,Photography,Beginner,Interactive activities,5+ hours
10043,testuser_43,Music Production,City_32,"Photography,Advertising,Videography",Beginner,Video tutorials,3–5 hours
10044,testuser_44,"UI/UX,Animation,Advertising",City_36,"Marketing,Graphic Designing,Videography",Beginner,Interactive activities,< 1 hour
10045,testuser_45,"UI/UX,Animation,Marketing",City_40,"Advertising,Videography,Content Creation",Beginner,Written guides,< 1 hour
10046,testuser_46,"Advertising,Graphic Designing,Animation,Photography",City_7,"Graphic Designing,UI/UX,Advertising",Beginner,Video tutorials,5+ hours
10047,testuser_47,"Graphic Designing,Marketing,Content Creation,Animation,Photography",City_48,"Graphic Designing,Animation,Videography",Intermediate,Video tutorials,1–3 hours
10048,testuser_48,"Graphic Designing,Content Creation,Animation,Music Production,Advertising",City_50,"Advertising,Music Production,Videography,Marketing",Beginner,Interactive activities,< 1 hour
10049,testuser_49,"UI/UX,Content Creation,Photography,Music Production",City_31,"Marketing,Content Creation,UI/UX,Photography",Beginner,Written guides,5+ hours
10050,testuser_50,"Animation,Graphic Designing",City_7,"UI/UX,Graphic Designing,Photography,Animation,Content Creation",Intermediate,Interactive activities,< 1 hour
10051,testuser_51,"UI/UX,Animation,Advertising",City_48,Music Production,Intermediate,Written guides,< 1 hour
10052,testuser_52,"Videography,Graphic Designing,Advertising,Marketing,UI/UX",City_24,"Marketing,UI/UX,Graphic Designing,Content Creation",Intermediate,Video tutorials,< 1 hour
10053,testuser_53,"Music Production,Content Creation",City_6,"Marketing,Photography,UI/UX,Videography,Music Production",Intermediate,Interactive activities,1–3 hours
10054,testuser_54,Content Creation,City_3,"Content Creation,Music Production,Graphic Designing,Animation",Intermediate,Written guides,1–3 hours
10055,testuser_55,"Advertising,Marketing,Videography",City_29,Photography,Beginner,Written guides,1–3 hours
10056,testuser_56,Content Creation,City_36,"Advertising,Marketing",Advanced,Written guides,5+ hours
10057,testuser_57,"Animation,Videography,Marketing,Graphic Designing",City_9,"Graphic Designing,Advertising,Music Production,Photography,Animation",Beginner,Interactive activities,< 1 hour
10058,testuser_58,Photography,City_23,"Content Creation,UI/UX,Graphic Designing",Advanced,Video tutorials,< 1 hour
10059,testuser_59,Photography,City_16,"Marketing,Photography,Advertising,Animation",Advanced,Video tutorials,< 1 hour
10060,testuser_60,"Marketing,Advertising,Animation",City_16,"Photography,Content Creation,Music Production,Marketing,UI/UX",Beginner,Video tutorials,5+ hours
10061,testuser_61,"Photography,Animation",City_36,Advertising,Beginner,Written guides,< 1 hour
10062,testuser_62,"Graphic Designing,Animation",City_14,UI/UX,Beginner,Written guides,5+ hours
10063,testuser_63,"Graphic Designing,Music Production,Content Creation,Videography",City_3,Graphic Designing,Advanced,Video tutorials,1–3 hours
10064,testuser_64,"Advertising,Videography",City_23,"Photography,Videography,UI/UX",Intermediate,Video tutorials,5+ hours
10065,testuser_65,"Content Creation,Marketing,Music Production",City_30,"Animation,Graphic Designing,Photography",Beginner,Interactive activities,< 1 hour
10066,testuser_66,Advertising,City_16,"Marketing,Content Creation,Photography,Advertising",Intermediate,Interactive activities,1–3 hours
10067,testuser_67,"Photography,Content Creation,Videography,UI/UX",City_39,"Graphic Designing,Advertising,Videography",Beginner,Video tutorials,3–5 hours
10068,testuser_68,"Videography,Content Creation",City_38,"Music Production,Graphic Designing,Marketing,Advertising,Photography",Beginner,Interactive activities,3–5 hours
10069,testuser_69,"Photography,Animation",City_5,"Music Production,Content Creation,UI/UX,Graphic Designing,Photography",Advanced,Written guides,3–5 hours
10070,testuser_70,"Photography,Animation,Music Production,Marketing",City_35,"Graphic Designing,UI/UX,Advertising,Videography,Photography",Beginner,Video tutorials,3–5 hours
10071,testuser_71,"Music Production,Animation,Photography,Marketing",City_29,"UI/UX,Videography,Photography,Graphic Designing",Intermediate,Interactive activities,3–5 hours
10072,testuser_72,"Videography,Marketing",City_6,Content Creation,Beginner,Written guides,5+ hours
10073,testuser_73,"Videography,Marketing,Advertising,Content Creation,Graphic Designing",City_43,"Animation,UI/UX",Beginner,Interactive activities,1–3 hours
10074,testuser_74,"Animation,Marketing,Advertising",City_31,UI/UX,Advanced,Interactive activities,< 1 hour
10075,testuser_75,"Music Production,Content Creation,Photography,Graphic Designing,Marketing",City_9,Marketing,Intermediate,Video tutorials,5+ hours
10076,testuser_76,"Graphic Designing,Content Creation,Videography,Photography,Marketing",City_45,"UI/UX,Animation,Photography,Advertising",Beginner,Video tutorials,1–3 hours
10077,testuser_77,"Music Production,Graphic Designing,Marketing",City_11,"Animation,Marketing",Beginner,Video tutorials,1–3 hours
10078,testuser_78,Graphic Designing,City_31,"Music Production,UI/UX,Marketing,Advertising,Content Creation",Intermediate,Interactive activities,5+ hours
10079,testuser_79,"Videography,Music Production",City_24,"Animation,Content Creation,Music Production",Intermediate,Written guides,1–3 hours
10080,testuser_80,"Advertising,Content Creation,Graphic Designing,UI/UX,Animation",City_15,"Videography,UI/UX,Graphic Designing,Music Production",Advanced,Interactive activities,< 1 hour
10081,testuser_81,"Advertising,UI/UX",City_36,"UI/UX,Photography,Advertising,Music Production,Content Creation",Advanced,Interactive activities,5+ hours
10082,testuser_82,"Music Production,UI/UX,Animation,Photography,Graphic Designing",City_15,"Advertising,Videography",Intermediate,Interactive activities,< 1 hour
10083,testuser_83,"Content Creation,Graphic Designing,Advertising,UI/UX,Videography",City_49,Music Production,Advanced,Video tutorials,1–3 hours
10084,testuser_84,UI/UX,City_25,"Content Creation,Animation,Advertising",Intermediate,Written guides,3–5 hours
10085,testuser_85,"Animation,Marketing,Content Creation,Advertising",City_50,"Advertising,Videography,Graphic Designing",Advanced,Interactive activities,1–3 hours
10086,testuser_86,"Advertising,Videography,Marketing,UI/UX",City_35,"Marketing,UI/UX",Intermediate,Video tutorials,1–3 hours
10087,testuser_87,"Videography,Advertising,Marketing",City_43,"Videography,Advertising,Content Creation,Animation,Graphic Designing",Beginner,Interactive activities,3–5 hours
10088,testuser_88,"Advertising,Animation,Videography,Photography",City_45,"Content Creation,Animation",Intermediate,Written guides,< 1 hour
10089,testuser_89,"Animation,Graphic Designing,UI/UX",City_6,"Content Creation,Music Production,Animation,UI/UX",Advanced,Interactive activities,< 1 hour
10090,testuser_90,"UI/UX,Graphic Designing",City_30,"Animation,Music Production,Photography,Videography,Advertising",Beginner,Video tutorials,1–3 hours
10091,testuser_91,"Music Production,Videography,UI/UX",City_24,"Videography,Marketing,UI/UX",Intermediate,Video tutorials,5+ hours
10092,testuser_92,"Marketing,Graphic Designing,Music Production",City_39,"Graphic Designing,Marketing,UI/UX,Music Production",Advanced,Written guides,< 1 hour
10093,testuser_93,"Photography,Content Creation",City_9,"Videography,Photography,Advertising,Graphic Designing",Beginner,Interactive activities,5+ hours
10094,testuser_94,"Animation,Marketing,Graphic Designing",City_8,"Animation,Music Production",Advanced,Written guides,< 1 hour
10095,testuser_95,"Animation,Music Production,Photography",City_46,"Videography,Content Creation,UI/UX",Intermediate,Video tutorials,5+ hours
10096,testuser_96,UI/UX,City_20,"Music Production,Videography,UI/UX,Photography",Intermediate,Video tutorials,< 1 hour
10097,testuser_97,"UI/UX,Marketing",City_36,"Marketing,Animation,Music Production,UI/UX",Advanced,Written guides,< 1 hour
10098,testuser_98,"UI/UX,Content Creation,Graphic Designing,Photography",City_14,UI/UX,Advanced,Written guides,1–3 hours
10099,testuser_99,"Animation,Graphic Designing,Advertising,Music Production",City_32,Videography,Beginner,Interactive activities,< 1 hour
